x,y,z
1.955475774635384312e+01,1.858862001409788078e+01,4.400465613515839181e+01
1.929621698023764509e+01,1.509187052416666397e+01,4.608383049193594871e+01
1.871743802914787835e+01,1.138345394693755530e+01,4.735908058410748822e+01
1.783977831122659907e+01,7.689764582251793712e+00,4.783439795063723921e+01
1.670313889068659208e+01,4.212072489301347034e+00,4.758851014811862967e+01
1.536049712715920279e+01,1.101467472534503944e+00,4.675353538128421604e+01
1.387123473933566231e+01,-1.552198212614534167e+00,4.548720765782289988e+01
1.229472842538491406e+01,-3.717774080934302283e+00,4.394682064583606973e+01
1.068528426714735069e+01,-5.410982691180170612e+00,4.227037492831367160e+01
9.088905561116732201e+00,-6.678792453651491101e+00,4.056667920738976107e+01
7.541850880006144564e+00,-7.584467489566265819e+00,3.891321275831622017e+01
6.070609568561784464e+00,-8.195822210347312620e+00,3.735916577425756202e+01
4.692806937146973389e+00,-8.577406016241660325e+00,3.593101417935516650e+01
3.418591406974336611e+00,-8.786200997450903216e+00,3.463864853503163488e+01
2.252164986326429030e+00,-8.869927684399883105e+00,3.348088817148848761e+01
1.193241798645463092e+00,-8.867019672489954374e+00,3.244988262897619791e+01
2.383211076417688368e-01,-8.807505691202555553e+00,3.153432936849668167e+01
-6.182664481096961095e-01,-8.714273221190108387e+00,3.072165701838018492e+01
-1.383537283878214064e+00,-8.604393517319605778e+00,2.999939930822016976e+01
-2.065233283371445072e+00,-8.490339394151995123e+00,2.935598337012720549e+01
-2.671366941144845075e+00,-8.381024945742964860e+00,2.878112001802724862e+01
-3.209899401113076145e+00,-8.282652854805142795e+00,2.826593893195793328e+01
-3.688520994048634982e+00,-8.199383576767530712e+00,2.780297059799516646e+01
-4.114508763519651779e+00,-8.133852407127397655e+00,2.738604397195664930e+01
-4.494640538628718929e+00,-8.087562794557447532e+00,2.701014444232103173e+01
-4.835149695547298343e+00,-8.061182040711839747e+00,2.667125935664239123e+01
-5.141708592405707989e+00,-8.054761413035858908e+00,2.636622682495880099e+01
-5.419431588660666321e+00,-8.067898655576067668e+00,2.609259617668307030e+01
-5.672890994014850641e+00,-8.099856939732362093e+00,2.584850359376084583e+01
-5.906141265199229551e+00,-8.149650593485183947e+00,2.563256347244826827e+01
-6.122747691595905373e+00,-8.216106240776237968e+00,2.544377488263355502e+01
-6.325817271658411123e+00,-8.297905249583667597e+00,2.528144126097066291e+01
-6.518029981896693137e+00,-8.393612231668541313e+00,2.514510134919575535e+01
-6.701669249537082429e+00,-8.501693286882170852e+00,2.503446930182790453e+01
-6.878650898292147708e+00,-8.620526770966169039e+00,2.494938202264606275e+01
-7.050550087325297532e+00,-8.748408967981218254e+00,2.488975197520779403e+01
-7.218626055883746950e+00,-8.883556593588300743e+00,2.485552398729437584e+01
-7.383844672671064480e+00,-9.024107744585331048e+00,2.484663488244900265e+01
-7.546898919148500973e+00,-9.168122826648852808e+00,2.486297502646770141e+01
-7.708227537814976493e+00,-9.313586620861297405e+00,2.490435128088461525e+01
-7.868032248243336468e+00,-9.458413055402301595e+00,2.497045090056875694e+01
-8.026293924068415464e+00,-9.600453397916908216e+00,2.506080664394839630e+01
-8.182788228025513533e+00,-9.737509067657564188e+00,2.517476327310076201e+01
-8.337101230314910794e+00,-9.867349792584665380e+00,2.531144616715274864e+01
-8.488645553617624628e+00,-9.987737709647962703e+00,2.546973295641579327e+01
-8.636677578170800729e+00,-1.009645771312548668e+01,2.564822937550338011e+01
-8.780316214688737020e+00,-1.019135400261746227e+01,2.584525077292756734e+01
-8.918563561068413748e+00,-1.027037241134223500e+01,2.605881045800224882e+01
-9.050328044771429603e+00,-1.033160763926268189e+01,2.628661717683723964e+01
-9.174449878186377916e+00,-1.037335381544174950e+01,2.652608232442984715e+01
-9.289729059589651783e+00,-1.039415675031851194e+01,2.677433848312258391e+01
-9.394955664447707022e+00,-1.039286542805792202e+01,2.702827002773286225e+01
-9.488942057204363678e+00,-1.036868029416419290e+01,2.728455602138325986e+01
-9.570556169567977278e+00,-1.032119418593795857e+01,2.753972498460839446e+01
-9.638755328326439553e+00,-1.025042583294374587e+01,2.779021997356509743e+01
-9.692619344885310184e+00,-1.015683994320821881e+01,2.803247258490425153e+01
-9.731381753762757825e+00,-1.004135410822598296e+01,2.826298249403111384e+01
-9.754457967322867518e+00,-9.905329822861920874e+00,2.847839961153389510e+01
-9.761469145756743515e+00,-9.750547519310039490e+00,2.867560476103653500e+01
-9.752260637072158289e+00,-9.579165832381759671e+00,2.885178520046377315e+01
-9.726914051709194098e+00,-9.393666702527671220e+00,2.900450090693586347e+01
-9.685752443156031788e+00,-9.196788624267032475e+00,2.913173886250998734e+01
-9.629338127584768259e+00,-8.991451382285886140e+00,2.923195222697846773e+01
-9.558463335487035195e+00,-8.780676030984478686e+00,2.930408324734128556e+01
-9.474134039424008336e+00,-8.567504149900337040e+00,2.934756914184543319e+01
-9.377547782009074240e+00,-8.354920335862743741e+00,2.936233163684875080e+01
-9.270066528962225050e+00,-8.145781470225889720e+00,2.934875162210157740e+01
-9.153185826024840210e+00,-7.942755665173226731e+00,2.930763127068455987e+01
-9.028501638368465976e+00,-7.748272985970756643e+00,2.924014648712673292e+01
-8.897676274669853669e+00,-7.564489110537380157e+00,2.914779282752078871e+01
-8.762404737684089895e+00,-7.393262228761161126e+00,2.903232805993765098e+01
-8.624382700928455492e+00,-7.236142654983908074e+00,2.889571431079721009e+01
-8.485277117896355747e+00,-7.094373961597965739e+00,2.874006236188785834e+01
-8.346700208626780082e+00,-6.968904014890520138e+00,2.856758007408281230e+01
-8.210187407155906669e+00,-6.860403850732441633e+00,2.838052656013049102e+01
-8.077179467857325434e+00,-6.769292407899840214e+00,2.818117284828798219e+01
-7.949008844772039950e+00,-6.695765015384069763e+00,2.797176956088679489e+01
-7.826890177056363918e+00,-6.639823764424392927e+00,2.775452151271356982e+01
-7.711914595570238617e+00,-6.601308107174181039e+00,2.753156888163810834e+01
-7.605047437824270951e+00,-6.579924319219409234e+00,2.730497431369152039e+01
-7.507128891755106892e+00,-6.575272766241314848e+00,2.707671520380777963e+01
-7.418877009908957376e+00,-6.586872128826968265e+00,2.684868024061136538e+01
-7.340892602479524243e+00,-6.614180230417577633e+00,2.662266944082709941e+01
-7.273665458197677403e+00,-6.656611061130849549e+00,2.640039677315611755e+01
-7.217581412169119304e+00,-6.713547942958482118e+00,2.618349460618461677e+01
-7.172929801198319133e+00,-6.784352895856843979e+00,2.597351928392812326e+01
-7.139910918486098268e+00,-6.868372377100944171e+00,2.577195722445780390e+01
-7.118643155033505643e+00,-6.964939654612491537e+00,2.558023100177137366e+01
-7.109169529656832687e+00,-7.073374097546467176e+00,2.539970496073628681e+01
-7.111463376984096918e+00,-7.192977703654522159e+00,2.523168992763415730e+01
-7.125433077981955243e+00,-7.323029253537246319e+00,2.507744673367021093e+01
-7.150925648822128444e+00,-7.462776420308484759e+00,2.493818817070305371e+01
-7.187729190947263369e+00,-7.611426226553446028e+00,2.481507916500089195e+01
-7.235574103024192461e+00,-7.768134237987223578e+00,2.470923483683388966e+01
-7.294133109659252767e+00,-7.931992909992117369e+00,2.462171626383752709e+01
-7.363020177167910241e+00,-8.102019533598838308e+00,2.455352371734418071e+01
-7.441788364782292220e+00,-8.277144276998148698e+00,2.450558716947152149e+01
-7.529926764426016383e+00,-8.456198833417342797e+00,2.447875392657017457e+01
-7.626856727914573142e+00,-8.637906322033707340e+00,2.447377330932710748e+01
-7.731927565022836291e+00,-8.820873079253793492e+00,2.449127835942117670e+01
-7.844411987142164477e+00,-9.003583058679538453e+00,2.453176464301816750e+01
-7.963501598027079353e+00,-9.184395634895833993e+00,2.459556634424268040e+01
-8.088302856051766909e+00,-9.361547712718284231e+00,2.468283024525516467e+01
-8.217833777084877056e+00,-9.533160835894054941e+00,2.479348774439214509e+01
-8.351022010592391354e+00,-9.697254248920316400e+00,2.492722643544696837e+01
-8.486704538033118084e+00,-9.851764453376008035e+00,2.508346145191464416e+01
-8.623629710774123325e+00,-9.994572075938167544e+00,2.526130865127825587e+01
-8.760461937667985310e+00,-1.012353587880149952e+01,2.545956101213144862e+01
-8.895789552074486295e+00,-1.023653463205661396e+01,2.567666945384691957e+01
-9.028136263194271649e+00,-1.033151537280678411e+01,2.591073122777625315e+01
-9.155976418835917841e+00,-1.040654825395172622e+01,2.615948632580579414e+01
-9.277754158223348924e+00,-1.045988487177483961e+01,2.642032528244986977e+01
-9.391906614243508145e+00,-1.049002047755796596e+01,2.669030829248809766e+01
-9.496890678262957408e+00,-1.049575438329195265e+01,2.696619851589836969e+01
-9.591212914194311878e+00,-1.047624800043347371e+01,2.724450871049058520e+01
-9.673461818931556877e+00,-1.043107577441024780e+01,2.752156167440501733e+01
-9.742341414065888827e+00,-1.036026613970725130e+01,2.779356292430255948e+01
-9.796704912605049387e+00,-1.026432914922822093e+01,2.805668362009204131e+01
-9.835587050684031496e+00,-1.014426809034176635e+01,2.830715065304372757e+01
-9.858233603485171415e+00,-1.000157322888043687e+01,2.854133999603233107e+01
-9.864126583634789114e+00,-9.838196783383432731e+00,2.875586899388826012e+01
-9.853003784546279675e+00,-9.656509505211856137e+00,2.894768304178365526e+01
-9.824871369279426503e+00,-9.459240621570616625e+00,2.911413164660034170e+01
-9.780009126927827978e+00,-9.249403636547620877e+00,2.925303151686827263e+01
-9.718967346014750319e+00,-9.030211958986104293e+00,2.936271156199697430e+01
-9.642555835362351502e+00,-8.804988795467423301e+00,2.944203957526384130e+01
-9.551825208368516229e+00,-8.577076002089667028e+00,2.949042897731798973e+01
-9.448041487707792285e+00,-8.349746624682104823e+00,2.950782676773474478e+01
-9.332655112424429689e+00,-8.126125267937561958e+00,2.949468426359713646e+01
-9.207265857304305356e+00,-7.909119728692167506e+00,2.945191348996007719e+01
-9.073585223826839297e+00,-7.701366308950669648e+00,2.938083258844657308e+01
-8.933397927948659500e+00,-7.505190143287995497e+00,2.928310398278301818e+01
-8.788524018309766817e+00,-7.322580813140343814e+00,2.916066902140244821e+01
-8.640782994441371656e+00,-7.155182557467825610e+00,2.901568253690696864e+01
-8.491961060495041735e+00,-7.004297607304843076e+00,2.885045027577311672e+01
-8.343782351520491858e+00,-6.870900674138252562e+00,2.866737145680898280e+01
-8.197884752596584335e+00,-6.755662153691660343e+00,2.846888823193343754e+01
-8.055800522336211245e+00,-6.658977692101116119e+00,2.825744284675199580e+01
-7.918941800100350648e+00,-6.581001673735909385e+00,2.803544298322325901e+01
-7.788590774581953369e+00,-6.521682483828912247e+00,2.780523508850864189e+01
-7.665894154868789556e+00,-6.480797669215114354e+00,2.756908518957958876e+01
-7.551861445718833998e+00,-6.457987481580475198e+00,2.732916639287189398e+01
-7.447366465917019340e+00,-6.452785662860007321e+00,2.708755214328456873e+01
-7.353151435422137894e+00,-6.464646506674196935e+00,2.684621413400395795e+01
-7.269833113076411557e+00,-6.492968018337099245e+00,2.660702403071219280e+01
-7.197910319993717110e+00,-6.537110584993552465e+00,2.637175790571095746e+01
-7.137772310867380732e+00,-6.596411257914707171e+00,2.614210255505108549e+01
-7.089707486667657044e+00,-6.670193748701624514e+00,2.591966295123395980e+01
-7.053912051162695818e+00,-6.757774386146308210e+00,2.570597014801373703e+01
-7.030498217393701843e+00,-6.858464315355063512e+00,2.550248908220238064e+01
-7.019501675126264217e+00,-6.971568295646180857e+00,2.531062577608272335e+01
-7.020888064107660753e+00,-7.096380457101095551e+00,2.513173350597227085e+01
-7.034558342687393662e+00,-7.232177473720078353e+00,2.496711767385180636e+01
-7.060352859348201449e+00,-7.378209434067697359e+00,2.481803894942966693e+01
-7.098054048267032456e+00,-7.533688885892262377e+00,2.468571442013048767e+01
-7.147387802681890001e+00,-7.697778441960283047e+00,2.457131653813092598e+01
-7.208023457148225788e+00,-7.869577355001691643e+00,2.447596951989029890e+01
-7.279572448187292544e+00,-8.048107527221999291e+00,2.440074299624878762e+01
-7.361585799765757443e+00,-8.232299455217779283e+00,2.434664268599153303e+01
-7.453550510987495770e+00,-8.420978676098375360e+00,2.431459788671144651e+01
-7.554885029082538672e+00,-8.612853291149201951e+00,2.430544562629725647e+01
-7.664934080528145621e+00,-8.806503351831658222e+00,2.431991141812016011e+01
-7.782963092958906870e+00,-9.000372857536678595e+00,2.435858666808534068e+01
-7.908152520947218989e+00,-9.192765180768068589e+00,2.442190280956765847e+01
-8.039592524488542225e+00,-9.381842990923692227e+00,2.451010263573733283e+01
-8.176278382702131253e+00,-9.565633517726835677e+00,2.462320936005521688e+01
-8.317107100353045013e+00,-9.742040148650302100e+00,2.476099398873478563e+01
-8.460875915384816537e+00,-9.908861362321962574e+00,2.492294286028053563e+01
-8.606282943964647103e+00,-1.006381748024475797e+01,2.510822548045631564e+01
-8.751930880418759884e+00,-1.020458606844791660e+01,2.531566580832098623e+01
-8.896334039652911585e+00,-1.032884585268870126e+01,2.554371797506196984e+01
-9.037929345970560746e+00,-1.043432895561176466e+01,2.579044904676090155e+01
-9.175091630913655649e+00,-1.051888056559542761e+01,2.605353112084583955e+01
-9.306153402898457827e+00,-1.058052443166307199e+01,2.633024486523995122e+01
-9.429429229532811263e+00,-1.061753202974649390e+01,2.661749663289173640e+01
-9.543244389630338276e+00,-1.062849246694413452e+01,2.691185059950692704e+01
-9.645967373382028143e+00,-1.061237965499866576e+01,2.720957680935311984e+01
